"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"TCGA.D3.A8GC"	9.37276116550025e-15	0.0207533174562137	0.0144135838122077	0.114020309779551	0.0219982543641352	0.0530249686106843	0.148683969900891	0.221748152808444	0.112550296647803
"TCGA.D3.A8GD"	0.265410940906323	0.000626272435075762	0.323967749239315	0.0986911821847353	0.0177512162005784	0.00804974285400185	0.143785951728138	1.91728663203797e-11	0.0645798078142421
"TCGA.D3.A8GE"	0.154131583328032	0.0407267118791051	0.0226337217996177	0.0175925311764886	0.217555823692534	0.231352847646286	0.0440988359984772	0.0235256635831775	0.199478506871219
"TCGA.D3.A8GI"	5.83561650442522e-15	0.0195894210677445	5.83561650442522e-15	0.0121386478945257	0.0156463029757645	0.130118352545404	0.1080327102959	5.83561650442522e-15	5.83561650442522e-15
"TCGA.D3.A8GJ"	0.127431975343657	0.01443877624118	0.344139503998571	0.106173835931007	0.00506401064391226	0.00381165252812069	0.140539121508704	7.03692113592952e-15	0.0638094372728086
"TCGA.D3.A8GK"	0.00411452108312113	6.43246052940628e-15	6.43246052940628e-15	6.43246052940628e-15	0.000889370861862751	0.0179063416608319	0.0321099977086811	0.0422516291205814	0.0180711969858651
"TCGA.D3.A8GL"	7.19546838487944e-15	0.0181951432061997	7.19546838487944e-15	7.19546838487944e-15	0.0240065054260195	0.00331889198095583	0.00820921322924706	0.267897940436431	0.0152193827896293
"TCGA.D3.A8GM"	0.0443851192025092	0.0229809036277626	0.0768541899107567	0.179317715535481	8.34049294619336e-15	0.030838392291015	0.251670703498155	0.213977304455929	0.0856388566157688
"TCGA.D3.A8GN"	0.102399419503264	0.0203697596521599	0.0682311828170435	0.123956738207682	0.0685483004854974	0.0360015257703995	0.0969300920440589	9.60043686683665e-15	0.013322738169664
"TCGA.D3.A8GP"	0.0180350443093779	6.60315349487728e-15	6.60315349487728e-15	6.60315349487728e-15	0.00186330121293931	0.0160383880622821	0.0319306018530412	0.0650742320011782	0.103876183261961
"TCGA.D3.A8GQ"	8.09115016934204e-15	8.09115016934204e-15	8.09115016934204e-15	0.0455983731627216	0.0108979807977407	0.149695684507673	0.203845228177697	0.0978528481920421	0.0103205961407863
"TCGA.D3.A8GR"	0.0115755936426063	0.0114293487002459	1.12300924175762e-08	5.81417140223073e-15	5.81417140223073e-15	0.00988439933450165	0.0018523806513345	5.81417140223073e-15	0.0825658052808951
"TCGA.D3.A8GS"	0.0845547762720085	0.0694063656856909	0.12224655299615	0.110950167671054	7.23233501550291e-15	7.23233501550291e-15	0.0619431628108476	7.23233501550291e-15	0.0778140029664333
"TCGA.D3.A8GV"	0.00388729946974632	7.82671592447151e-15	7.82671592447151e-15	7.82671592447151e-15	0.00394957863366508	0.0243409048087062	0.100391339482656	0.014841919772154	0.0649801193554502
"TCGA.D9.A148"	0.0109969477119899	0.020768689071611	0.0195412730876605	8.52443789095026e-15	0.0100266153119639	0.0436303417046953	0.116468315979401	0.120411312252891	0.166785449245826
"TCGA.D9.A149"	0.13132090776797	0.129077447784873	0.225050162570699	0.0222166468380282	9.44771454711645e-15	0.0304832690611027	0.0284966837651326	0.212606207025709	0.0414141122676778
"TCGA.D9.A1JW"	0.130803117943072	0.126550789409358	0.238499387653157	1.11007021867715e-11	8.83584333173963e-15	0.0379566660074821	0.000222919139225291	0.148064316484591	0.0502364356630138
"TCGA.D9.A1JX"	0.0839572414052651	0.113271626911188	0.255339932977336	0.0964677328285113	0.0731119875737864	0.0501951146884041	0.0176878889168739	0.0783786419139945	0.0815731345893709
"TCGA.D9.A1X3"	0.000582309878315584	7.09918036557105e-05	7.56600469350928e-15	7.56600469350928e-15	0.0329389483228224	0.0851000941969089	0.0429243351924129	0.210981589048752	0.077575742090643
"TCGA.D9.A3Z1"	0.109428162268008	0.121024300315935	0.284701763364624	0.0727449458673177	8.00533269128695e-15	0.0144146450307199	0.0797933889871843	0.149289342649787	0.00415292794943957
"TCGA.D9.A3Z3"	0.148759191225873	0.0793776451793555	0.164179979702696	0.00209400370338366	0.049297590384063	0.116993535603075	0.0446399785045796	0.0188671455379137	0.112514327238405
"TCGA.D9.A4Z6"	8.38194186986718e-15	0.0321195299666667	8.38194186986718e-15	0.00365888657281002	0.0497023996214983	0.0471610867484912	0.0876738907545995	0.12117117090843	0.0990937848203287
"TCGA.D9.A6EA"	0.000446169963265231	8.62722424514638e-15	0.00238652086278587	2.07721941886828e-12	0.0116741019518088	0.0461282789232164	0.086705122120081	0.0572448274029608	0.100112143432653
"TCGA.D9.A6EC"	7.84745068307052e-15	0.0162413126194848	0.00404115047424037	7.84745068307052e-15	0.0123254609666817	0.026765707870965	0.146439332559955	0.154831062677849	0.0844204518489141
"TCGA.D9.A6EG"	0.0174083927399144	7.35081165639184e-15	7.35081165639184e-15	7.35081165639184e-15	0.0285685015150345	0.0837501863766013	0.0261002018116658	0.233811459981267	0.105523123999384
"TCGA.DA.A1HV"	0.11022787182813	0.184488210068172	0.21376382642949	0.123317329074038	0.00414019652851171	0.0049413744179585	0.148185139732719	0.0435903327390922	0.0758563688247239
"TCGA.DA.A1HW"	0.199522986261326	0.0140372575231876	0.251749783889453	0.0783866229764618	0.0516915689194164	0.0307365208211597	0.131396811641868	0.0576814869541479	0.0696397495163611
"TCGA.DA.A1HY"	6.71240485688539e-15	6.71240485688539e-15	6.71240485688539e-15	0.00613458216848615	0.0912055730418481	0.282126182326864	0.150861287009052	0.0904028175843645	0.125978025852788
"TCGA.DA.A1I0"	0.00746702899205342	0.118131235415998	0.0235212009418695	0.000124415483753892	0.0215665053311594	0.066075987733634	0.0263638042357942	7.24388306439655e-15	1.80773367233336e-12
"TCGA.DA.A1I1"	0.129916764046344	0.0573802407746949	0.17253208534117	0.22357609180541	0.11659815261258	0.117011328315063	8.78545443520837e-06	0.0613354616796624	0.0812809099541606
"TCGA.DA.A1I4"	0.00505817016673742	0.253051068006595	7.12801067528863e-15	0.289725378266528	0.107708362381551	0.152434240772107	0.0138019332319491	0.0218483349720807	7.12801067528863e-15
"TCGA.DA.A1I5"	0.0995229837481621	0.145750038505728	0.111928230418636	0.249258167758865	0.0622696910646538	0.0718214798537703	0.126724513390376	0.00557920787081848	0.0119951524610889
"TCGA.DA.A1I7"	8.94353298660158e-15	2.37818703855151e-12	2.34669571442543e-08	0.034699359230439	0.0589419278357591	0.33653841196027	0.14854293598097	0.0956705185740631	8.94353298660158e-15
"TCGA.DA.A1I8"	1.14569142611796e-05	0.0581371787620426	6.0322937065312e-15	0.140723871759838	0.0323899009575974	0.1719434958683	0.28913083007739	0.0350303392299444	0.134565151950257
"TCGA.DA.A1IA"	5.76741251650022e-15	0.00844918610567499	5.76741251650022e-15	5.76741251650022e-15	0.00214896588383139	0.0181389511056686	8.34262668211524e-11	0.00761709706967287	0.0701772938008835
"TCGA.DA.A1IB"	0.3413791974385	0.0658469095950257	0.241741785798698	0.11972896141222	0.0138371908008227	0.0303687731826279	0.0622891511971781	5.86442141068522e-15	0.0100552930770525
"TCGA.DA.A1IC"	0.0147379711777957	0.035884955468845	8.54784060826014e-15	8.54784060826014e-15	0.0782667617568922	0.102629606066123	0.0505509813891084	0.162256879125493	0.0587737930948939
"TCGA.DA.A3F2"	0.0936810904426093	0.314838926590724	0.102075754100685	0.0513327870381134	0.0371955117729632	0.111128730998834	4.03721748385403e-15	4.03721748385403e-15	4.03721748385403e-15
"TCGA.DA.A3F3"	0.00974384524327189	8.9902056148471e-15	0.00232788710191549	0.000664042660029807	0.0467426443917139	8.9902056148471e-15	0.230253981170026	0.161442391829895	0.0667483996662566
"TCGA.DA.A3F5"	7.59180759556652e-07	7.20267870900895e-15	7.20267870900895e-15	0.0873710723575521	0.00734533221503506	0.124345550237986	0.204767403503695	0.0673699287219383	0.0526799347017321
"TCGA.DA.A3F8"	0.23040401742033	0.117454845974006	0.315358678015757	0.105784468552319	0.0346851608909751	0.0122257846165372	0.0386820778114371	0.0443808975312367	0.0192100884444663
"TCGA.DA.A95V"	0.00518423623214035	0.0266726918178396	0.0805791306354654	7.45858113546272e-15	0.00702537866924096	0.0132881352462315	0.0495383732583747	0.0274485067502164	0.0441202805259803
"TCGA.DA.A95W"	9.63694085567823e-15	0.0183313078547191	0.0119680477225742	9.63694085567823e-15	0.0789280040154909	0.0117194998457776	9.63694085567823e-15	0.0894046018090997	0.0611290335189488
"TCGA.DA.A95X"	0.00892505989739359	0.0897360734022063	0.0740813481356494	0.166878698298109	0.0786915383057159	0.0430681996584345	0.0548307195474152	0.250755832990764	0.140935654466653
"TCGA.DA.A95Y"	6.9357399970062e-15	0.0035676288535963	0.0025357560807463	6.9357399970062e-15	0.00566923341811158	0.00583241092540689	0.0185290911007394	0.103663163929754	0.0575857831744516
"TCGA.DA.A95Z"	8.96516000614948e-15	8.96516000614948e-15	0.00198040046590968	8.96516000614948e-15	0.0148382814551164	0.0236149961981553	0.0323008441943375	0.0505512817187512	0.0670696404533492
