Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA-D3-A2JF	0.0114054956351144	0.133290881788072	0.0295948304148831	0.434456578021061	0	0.189581896338835	0	0.305962454293706	0.0362892584161037	0.0709672886957241	0	0.150223536512877	0	0.294046649706691	0.413677857120011	0.43816567120828	0	0	0.074979278989244	0	0	0	0	0.473050718905245	0.880567204756506	2.5826416771406
TCGA-D3-A2JG	0	0.167553452484875	0.21683257287866	0.317891443503361	0	0	0	0.0807692719009457	0.0651213123706455	0	0	0.0244874317475404	0.0627182126085711	0.146490565697573	0.0492537175859533	0.372803130614283	0.0241555163598521	0	0.219236493551751	0	0	0	0.41	0.0313529205183992	1.05473959979203	1.74731312130401
TCGA-D3-A2JH	0.290824994745405	0	0.136424810288872	2.24292422498172	0	0	0.2605619761448	0.327462515942511	0.0311670226634288	0	0	0.555919990466218	0.0705014261149877	0	0.239604839385306	0.815537432867923	0.0513778987863116	0	0	0.095666939938447	0	0.0261231795232716	0	0.503935350997392	0.864081595411601	5.1440972518492
TCGA-D3-A2JK	0	0.0814444093542963	0.0135704174628021	0	0	0.100192343923612	0	0.0370021228810664	0.0657540191871472	0	0.051514618282484	0	0	1.51436352024985	0.0193523676514557	0.397933734745925	0	0	0.0884853930449805	0	0	0	0	0.269638013149285	1.06489329541935	2.36961294678362
TCGA-D3-A2JL	0	0.207011540481837	0.0445842436026626	0.746989212583811	0	0	0	0.251932704642602	0.258690734551953	0.325454706302937	0	0.32082159232632	0	0.77013124275202	0.313354838664786	0.234097745634839	0	0	0.0863965594160333	0	0	0	0	0.255985367345835	0.999321903967535	3.5594651209598
TCGA-D3-A2JN	0	0.120600605304515	0.219323933960896	0.499988822701252	0	0	0.156497585612562	0.115971842363233	0.103471780592892	0	0	0.186208716897605	0.0310514156958284	0.089269587043812	0.207296056019997	0.15381656071257	0.161014855473154	0	0.0124250176690437	0	0	0	0	0.450617066272778	0.891873735237357	2.05693678004736
TCGA-D3-A2JO	0	0	0.276435906306289	1.4199351854489	0	0	0.517892672473563	0.265002925832284	0	0.309374609486696	0	0.316192454558155	0.00189780322292243	0.722419553100066	0.592271551780015	0.914760507343313	0.130865211680098	0	0	0	0	0	0	0.369691138257903	0.93543028296907	5.4670483812323
TCGA-D3-A2JP	0	0.233820997281495	0.138514121218882	0.687576186141959	0	0.0144693379856289	0.0238682748988141	0.107389967394623	0	0.179680677293984	0	0.149846448489056	0.0849269423284605	0	0.40621377984139	0.309743297785509	0.053565015242813	0	0.028860010246729	0	0	0	0.02	0.191167779740694	1.03380446499151	2.41847505614934
TCGA-D3-A3BZ	0.114062566097538	0.0131687858604851	0.21446883021786	1.06195545782714	0	0	0.097102333540671	0.319389813516736	0.204145236809418	0	0	0.498905297642633	0.20694839733124	0.360827800611299	0.433627550256487	0.60943293790444	0.0677698511009428	0	0.214823057522391	0	0	0	0	0.27162246755909	0.98080476205739	4.41662791623928
TCGA-D3-A3C6	0.0047294347343742	0	0.00660376277823028	0	0.0238770313726089	0	0	0.0361262511545525	0.0775475229535067	0.114402216657829	0.136866859563822	0	0	1.02257169421556	0.0411701011222384	0.963245550279149	0	0	0.0868883482318993	0	0	0	0.02	0.192687638918903	1.07660772163372	2.51402877306377
